0,109,0006,2023-09-05 10:10:45,2023-09-05 10:10:52,2023-09-05 10:10:58,17759,1900-01-01 00:00:00,189312,0
1,109,0000,2023-09-05 10:10:58,2023-09-05 10:10:52,2023-09-05 10:11:00,15776,1900-01-01 00:00:00,183861,1
2,112,00010,2023-09-05 10:10:50,2023-09-05 10:10:59,2023-09-05 10:11:02,15831,1900-01-01 00:00:00,181410,1
3,113,0008,2023-09-05 10:10:52,2023-09-05 10:10:57,2023-09-05 10:11:04,12870,1900-01-01 00:00:00,188964,1
4,112,0003,2023-09-05 10:11:02,2023-09-05 10:11:01,2023-09-05 10:11:06,21945,1900-01-01 00:00:00,184425,1
5,112,0003,2023-09-05 10:11:06,2023-09-05 10:11:04,2023-09-05 10:11:08,12555,1900-01-01 00:00:00,183777,0
6,109,0002,2023-09-05 10:11:00,2023-09-05 10:11:04,2023-09-05 10:11:10,20102,1900-01-01 00:00:00,184532,1
7,110,0007,2023-09-05 10:11:03,2023-09-05 10:11:06,2023-09-05 10:11:12,13981,1900-01-01 00:00:00,183310,0
8,113,0000,2023-09-05 10:11:04,2023-09-05 10:11:08,2023-09-05 10:11:14,15667,1900-01-01 00:00:00,184374,1
9,112,0006,2023-09-05 10:11:08,2023-09-05 10:11:12,2023-09-05 10:11:16,23559,1900-01-01 00:00:00,189717,1
10,110,0003,2023-09-05 10:11:12,2023-09-05 10:11:12,2023-09-05 10:11:18,21900,1900-01-01 00:00:00,182336,0
11,115,0003,2023-09-05 10:11:07,2023-09-05 10:11:15,2023-09-05 10:11:21,13291,1900-01-01 00:00:00,185435,0
12,111,0003,2023-09-05 10:11:13,2023-09-05 10:11:16,2023-09-05 10:11:23,11681,1900-01-01 00:00:00,186981,0
13,117,0003,2023-09-05 10:11:17,2023-09-05 10:11:20,2023-09-05 10:11:25,14837,1900-01-01 00:00:00,189383,0
14,116,00010,2023-09-05 10:11:18,2023-09-05 10:11:24,2023-09-05 10:11:27,10160,1900-01-01 00:00:00,180215,0
15,112,0006,2023-09-05 10:11:16,2023-09-05 10:11:23,2023-09-05 10:11:29,17021,1900-01-01 00:00:00,183218,1
16,114,0000,2023-09-05 10:11:20,2023-09-05 10:11:27,2023-09-05 10:11:31,11478,1900-01-01 00:00:00,187643,1
17,110,0002,2023-09-05 10:11:18,2023-09-05 10:11:30,2023-09-05 10:11:33,24053,1900-01-01 00:00:00,185109,1
:18,117,0002,2023-09-05 10:11:25,2023-09-05 10:1130,2023-09-05 10:11:35,29976,1900-01-01 00:00:00,188772,1
19,112,0005,2023-09-05 10:11:29,2023-09-05 10:11:33,2023-09-05 10:11:37,28036,1900-01-01 00:00:00,180305,0
20,109,0003,2023-09-05 10:11:10,2023-09-05 10:11:33,2023-09-05 10:11:39,23987,1900-01-01 00:00:00,185581,1
21,109,0000,2023-09-05 10:11:39,2023-09-05 10:11:33,2023-09-05 10:11:41,10180,1900-01-01 00:00:00,180510,1
22,112,0009,2023-09-05 10:11:37,2023-09-05 10:11:36,2023-09-05 10:11:43,21780,1900-01-01 00:00:00,186510,0
23,111,0003,2023-09-05 10:11:23,2023-09-05 10:11:37,2023-09-05 10:11:45,19337,1900-01-01 00:00:00,182374,0
24,111,0000,2023-09-05 10:11:45,2023-09-05 10:11:39,2023-09-05 10:11:47,25802,1900-01-01 00:00:00,182481,1
25,110,0003,2023-09-05 10:11:33,2023-09-05 10:11:42,2023-09-05 10:11:49,28696,1900-01-01 00:00:00,188548,1
26,111,0008,2023-09-05 10:11:47,2023-09-05 10:11:48,2023-09-05 10:11:51,10889,1900-01-01 00:00:00,184944,1
27,112,0004,2023-09-05 10:11:43,2023-09-05 10:11:50,2023-09-05 10:11:53,12800,1900-01-01 00:00:00,182967,0
28,115,0007,2023-09-05 10:11:21,2023-09-05 10:11:49,2023-09-05 10:11:55,29785,1900-01-01 00:00:00,183477,0
29,117,00010,2023-09-05 10:11:35,2023-09-05 10:11:50,2023-09-05 10:11:57,29782,1900-01-01 00:00:00,181961,0
30,109,0005,2023-09-05 10:11:41,2023-09-05 10:11:54,2023-09-05 10:12:00,15039,1900-01-01 00:00:00,186084,1
31,114,0005,2023-09-05 10:11:31,2023-09-05 10:11:57,2023-09-05 10:12:02,15758,1900-01-01 00:00:00,183807,0
32,112,0009,2023-09-05 10:11:53,2023-09-05 10:11:58,2023-09-05 10:12:04,15454,1900-01-01 00:00:00,186876,0
33,110,0009,2023-09-05 10:11:49,2023-09-05 10:12:02,2023-09-05 10:12:06,16790,1900-01-01 00:00:00,182319,0
