29_283_641,116,9,运行,2023-09-05 10:08:56,2023-09-05 10:10:58,11
22_280_661,112,18,预警,2023-09-05 10:10:17,2023-09-05 10:11:00,7
21_239_648,113,0,预警,2023-09-05 10:09:22,2023-09-05 10:11:02,23
23_210_670,109,24,预警,2023-09-05 10:10:21,2023-09-05 10:11:04,4
20_201_677,110,27,运行,2023-09-05 10:10:44,2023-09-05 10:11:06,0
30_227_672,109,13,预警,2023-09-05 10:09:40,2023-09-05 10:11:08,9
20_279_628,112,2,预警,2023-09-05 10:09:01,2023-09-05 10:11:10,3
23_222_626,117,9,预警,2023-09-05 10:10:42,2023-09-05 10:11:12,27
26_260_644,117,27,预警,2023-09-05 10:09:43,2023-09-05 10:11:14,6
20_222_605,116,9,运行,2023-09-05 10:09:31,2023-09-05 10:11:16,24
30_231_660,115,4,预警,2023-09-05 10:09:35,2023-09-05 10:11:18,24
30_227_690,117,16,预警,2023-09-05 10:11:10,2023-09-05 10:11:20,24
23_292_697,110,11,预警,2023-09-05 10:09:02,2023-09-05 10:11:22,15
20_254_607,115,5,预警,2023-09-05 10:10:31,2023-09-05 10:11:24,19
22_275_700,111,30,运行,2023-09-05 10:09:52,2023-09-05 10:11:27,23
22_215_617,113,2,停止,2023-09-05 10:10:01,2023-09-05 10:11:29,11
27_258_621,115,25,预警,2023-09-05 10:11:30,2023-09-05 10:11:31,25
27_216_659,112,5,预警,2023-09-05 10:09:15,2023-09-05 10:11:33,11
25_280_682,116,17,停止,2023-09-05 10:09:33,2023-09-05 10:11:35,17
30_242_654,115,2,停止,2023-09-05 10:09:31,2023-09-05 10:11:37,5
27_258_604,113,14,运行,2023-09-05 10:09:52,2023-09-05 10:11:39,11
22_271_660,114,23,预警,2023-09-05 10:10:16,2023-09-05 10:11:41,25
20_300_616,115,28,预警,2023-09-05 10:11:34,2023-09-05 10:11:43,26
20_222_610,109,27,预警,2023-09-05 10:11:00,2023-09-05 10:11:45,0
30_295_633,110,6,预警,2023-09-05 10:09:25,2023-09-05 10:11:47,1
30_264_619,115,20,运行,2023-09-05 10:11:30,2023-09-05 10:11:49,25
23_273_600,117,12,预警,2023-09-05 10:09:28,2023-09-05 10:11:51,12
28_207_690,110,28,预警,2023-09-05 10:11:00,2023-09-05 10:11:53,20
24_209_613,109,0,运行,2023-09-05 10:11:35,2023-09-05 10:11:55,13
30_261_622,111,5,运行,2023-09-05 10:10:32,2023-09-05 10:11:57,25
29_263_677,111,30,预警,2023-09-05 10:11:10,2023-09-05 10:11:59,14
22_229_634,117,15,预警,2023-09-05 10:09:43,2023-09-05 10:12:01,12
25_285_633,114,5,预警,2023-09-05 10:11:22,2023-09-05 10:12:03,25
23_267_625,111,24,预警,2023-09-05 10:11:26,2023-09-05 10:12:05,3
29_218_634,114,7,预警,2023-09-05 10:11:10,2023-09-05 10:12:07,29
27_249_624,117,3,预警,2023-09-05 10:11:03,2023-09-05 10:12:10,14
25_254_629,114,2,预警,2023-09-05 10:10:52,2023-09-05 10:12:12,2
25_205_650,116,30,预警,2023-09-05 10:11:33,2023-09-05 10:12:14,8
26_201_639,109,12,停止,2023-09-05 10:12:03,2023-09-05 10:12:16,0
28_300_673,115,5,预警,2023-09-05 10:10:21,2023-09-05 10:12:18,6
24_264_605,113,6,预警,2023-09-05 10:10:49,2023-09-05 10:12:20,27
30_287_686,113,1,预警,2023-09-05 10:12:11,2023-09-05 10:12:22,25
21_292_603,109,8,预警,2023-09-05 10:11:31,2023-09-05 10:12:24,16
28_258_644,109,25,停止,2023-09-05 10:10:21,2023-09-05 10:12:26,24
29_226_648,111,21,停止,2023-09-05 10:10:33,2023-09-05 10:12:28,4
30_269_642,112,26,预警,2023-09-05 10:12:11,2023-09-05 10:12:30,0
29_278_621,117,2,预警,2023-09-05 10:11:36,2023-09-05 10:12:32,14
26_258_649,113,12,预警,2023-09-05 10:11:29,2023-09-05 10:12:34,0
29_246_658,109,4,预警,2023-09-05 10:10:34,2023-09-05 10:12:36,14
21_221_658,109,7,预警,2023-09-05 10:11:12,2023-09-05 10:12:38,3
25_284_631,117,22,预警,2023-09-05 10:11:58,2023-09-05 10:12:40,30
21_257_688,114,4,预警,2023-09-05 10:10:40,2023-09-05 10:12:42,6
23_232_652,113,14,预警,2023-09-05 10:10:38,2023-09-05 10:12:44,8
27_289_692,109,17,停止,2023-09-05 10:12:08,2023-09-05 10:12:46,3
21_289_666,117,2,运行,2023-09-05 10:10:32,2023-09-05 10:12:48,0
26_219_646,117,8,预警,2023-09-05 10:12:01,2023-09-05 10:12:50,17
25_238_656,114,21,预警,2023-09-05 10:11:51,2023-09-05 10:12:52,16
26_258_637,109,1,预警,2023-09-05 10:12:49,2023-09-05 10:12:54,17
27_250_622,114,4,预警,2023-09-05 10:11:00,2023-09-05 10:12:56,1
25_294_624,116,20,停止,2023-09-05 10:11:14,2023-09-05 10:12:58,8
21_266_610,111,26,预警,2023-09-05 10:11:14,2023-09-05 10:13:01,0
26_246_696,111,28,预警,2023-09-05 10:10:34,2023-09-05 10:13:03,26
30_213_651,116,24,运行,2023-09-05 10:12:43,2023-09-05 10:13:05,4
30_222_616,114,3,运行,2023-09-05 10:11:34,2023-09-05 10:13:07,9
25_273_644,113,19,停止,2023-09-05 10:12:15,2023-09-05 10:13:09,27
20_212_655,117,12,预警,2023-09-05 10:13:09,2023-09-05 10:13:11,7
29_274_611,110,1,预警,2023-09-05 10:10:55,2023-09-05 10:13:13,12
20_282_656,109,1,运行,2023-09-05 10:13:09,2023-09-05 10:13:15,12
24_223_639,113,21,运行,2023-09-05 10:11:04,2023-09-05 10:13:17,1
22_281_645,111,12,运行,2023-09-05 10:12:47,2023-09-05 10:13:19,16
24_267_673,115,5,预警,2023-09-05 10:12:26,2023-09-05 10:13:21,28
25_259_694,116,9,预警,2023-09-05 10:12:04,2023-09-05 10:13:23,28
23_218_700,112,29,停止,2023-09-05 10:12:14,2023-09-05 10:13:25,21
23_221_680,109,15,预警,2023-09-05 10:11:50,2023-09-05 10:13:27,16
23_274_687,110,19,预警,2023-09-05 10:13:26,2023-09-05 10:13:29,6
22_288_688,111,7,预警,2023-09-05 10:12:22,2023-09-05 10:13:31,22
20_246_671,110,15,预警,2023-09-05 10:12:45,2023-09-05 10:13:33,29
26_274_617,110,7,运行,2023-09-05 10:11:50,2023-09-05 10:13:35,27
26_219_680,113,25,停止,2023-09-05 10:11:26,2023-09-05 10:13:37,28
25_240_675,117,15,停止,2023-09-05 10:12:22,2023-09-05 10:13:39,27
25_206_666,112,4,预警,2023-09-05 10:12:31,2023-09-05 10:13:41,26
26_239_653,116,30,预警,2023-09-05 10:13:26,2023-09-05 10:13:44,13
28_249_639,111,27,停止,2023-09-05 10:13:46,2023-09-05 10:13:46,20
28_297_695,112,13,停止,2023-09-05 10:12:34,2023-09-05 10:13:48,24
